"ID","Year","ACT","GPA","HS.Percentile","Date.App.Submitted","Date.App.Completed","Date.Deposited","Zip","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Final.Status","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
"App ID-105270","2014 Fall",33,4,NA,"2013-11-19","2013-11-22",NA,57110,0,41484,23750,23750,29480,"2014-02-18","2014-03-17","2014-03-10","2014-03-27",229.22,65815,13531,0.8924,25,0.0018,NA,1,0,0,1,0,0,0,0
"App ID-105288","2014 Fall",22,3.1,NA,"2014-04-16",NA,NA,55443,1,41484,19150,19150,33032,"2014-04-21","2014-04-30",NA,NA,203.3,73100,32771,0.5458,50,0.0015,NA,0,0,0,0,0,1,0,1
"App ID-105294","2014 Fall",23,3.81,NA,"2013-12-02","2013-12-16",NA,55398,0,41484,13000,13000,3097,"2014-03-27","2014-03-28",NA,NA,180.53,72725,16022,0.9701,28,0.0017,546,0,0,0,0,0,0,0,0
"App ID-105360","2014 Fall",21,3.25,NA,"2014-01-12",NA,NA,59457,0,41484,18560,18560,38973,"2014-03-07","2014-04-25",NA,NA,596.35,42500,9280,0.9658,12,0.0013,NA,0,1,0,0,0,0,0,0
"App ID-105362","2014 Fall",22,3.09,NA,"2013-12-17","2014-01-14",NA,59457,0,41484,25310,21310,44904,"2014-02-17","2014-03-17",NA,NA,596.35,42500,9280,0.9658,12,0.0013,NA,0,1,0,0,0,0,0,0
"App ID-105375","2014 Fall",21,2.82,NA,"2014-01-15","2014-02-19",NA,56201,0,NA,0,0,0,NA,NA,NA,NA,146.11,46132,22990,0.8633,137,0.006,NA,0,0,0,1,0,0,0,0
"App ID-105410","2014 Fall",24,3.96,0,"2014-01-04","2014-01-27","2014-03-19",58545,0,41484,21250,21250,25925,"2014-02-18","2014-03-17",NA,NA,230.44,74441,3657,0.9467,3,8e-04,588,1,1,0,0,1,0,0,0
"App ID-105416","2014 Fall",21,3.09,NA,"2014-01-27","2014-01-28",NA,58104,0,41484,5000,5000,7573,"2014-04-01","2014-04-02",NA,NA,3.65,66172,31429,0.9349,607,0.0193,NA,0,0,0,1,0,0,0,0
"App ID-105496","2014 Fall",22,3.22,NA,"2013-11-06",NA,NA,59635,0,NA,0,0,0,NA,NA,NA,NA,715,58094,7550,0.9192,6,8e-04,NA,0,0,0,1,0,0,0,0
"App ID-105505","2014 Fall",27,4,NA,"2013-11-18","2013-12-07",NA,59714,0,NA,0,0,0,NA,NA,NA,NA,689.09,57602,19259,0.9673,15,8e-04,NA,1,0,0,0,0,0,0,0
"App ID-105593","2014 Fall",24,2.97,NA,"2013-11-06",NA,NA,59602,0,NA,0,0,0,NA,NA,NA,NA,718.55,65109,25380,0.9467,19,7e-04,NA,0,0,0,1,0,0,0,0
"App ID-105618","2014 Fall",32,3.49,57,"2013-12-02","2013-12-20","2014-04-17",83856,0,41484,17000,17000,0,"2014-03-03","2014-03-19",NA,NA,941.15,38415,6259,0.9415,NA,NA,NA,1,0,0,1,1,0,0,0
"App ID-105635","2014 Fall",33,4,NA,"2013-11-12","2013-11-25",NA,59868,0,41484,43660,43660,41784,"2014-02-17","2014-04-30","2014-03-10",NA,786.28,39265,1609,0.9397,3,0.0019,NA,0,0,0,0,0,0,0,0
"App ID-105699","2014 Fall",23,3.45,NA,"2013-11-04",NA,NA,55038,0,NA,0,0,0,NA,NA,NA,NA,216.08,84662,21393,0.9231,36,0.0017,2017,0,0,0,0,0,0,0,0
"App ID-105704","2014 Fall",22,3.38,NA,"2013-11-11","2013-11-27",NA,56560,0,NA,0,0,0,NA,NA,NA,NA,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,1,0,0,0,0
"App ID-105715","2014 Fall",23,3.75,NA,"2014-01-15","2014-01-17",NA,58401,0,NA,0,0,0,NA,NA,NA,NA,91.71,49515,17287,0.9498,47,0.0027,2185,0,0,0,1,0,0,0,0
"App ID-105717","2014 Fall",22,2.92,0,"2013-12-02",NA,"2014-04-29",55331,0,41484,17060,17060,29414,"2014-02-20","2014-03-25",NA,NA,204.46,105997,17056,0.9698,68,0.004,1383,1,0,0,0,1,0,0,0
"App ID-105843","2014 Fall",23,2.93,NA,"2013-11-18","2013-11-23",NA,55433,0,41484,0,0,41006,"2014-03-03",NA,NA,NA,202.22,59304,33945,0.8567,51,0.0015,2120,0,0,0,0,0,0,0,0
"App ID-105867","2014 Fall",28,3.87,0,"2013-11-26","2013-12-12","2014-04-04",59901,0,41484,16500,16500,13214,"2014-03-04","2014-03-19",NA,NA,820.61,45163,49792,0.9537,44,9e-04,NA,0,0,0,0,1,0,0,0
"App ID-105934","2015 Fall",19,2.97,55,"2015-01-29","2015-01-29",NA,55371,0,41484,22046,21540,33386,"2015-02-04","2015-03-17",NA,NA,175.95,56971,16410,0.9589,24,0.0015,925,0,1,0,1,0,0,0,0
"App ID-105967","2014 Fall",27,3.75,79,"2014-01-29",NA,"2014-06-12",58104,0,NA,0,0,0,NA,NA,NA,NA,3.65,66172,31429,0.9349,607,0.0193,1356,0,0,0,1,1,0,0,0
"App ID-106095","2014 Fall",25,3.23,56,"2013-11-12","2013-12-02","2014-03-24",56479,0,41484,20420,20420,32947,"2014-03-07","2014-03-20",NA,NA,99.77,39835,4806,0.97,30,0.0062,372,0,1,0,1,1,0,0,0
"App ID-106115","2014 Fall",27,3.5,71,"2013-11-07","2014-01-07","2014-05-01",56560,0,41484,0,0,44474,"2014-02-17",NA,NA,NA,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,0,1,0,0,0
"App ID-106125","2014 Fall",20,3.28,NA,"2014-01-19","2014-01-31",NA,55057,0,41484,12570,12570,16769,"2014-03-19","2014-03-21",NA,NA,240.29,68239,24933,0.882,107,0.0043,1173,0,1,0,1,0,0,0,0
"App ID-106168","2014 Fall",0,3.45,NA,"2013-10-30","2013-11-19",NA,822,0,41484,0,0,34813,"2014-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0
"App ID-106310","2014 Fall",22,3.35,NA,"2013-11-13","2013-11-26",NA,56560,0,NA,0,0,0,NA,NA,NA,NA,0.64,53139,41737,0.9084,951,0.0228,1356,0,0,0,0,0,0,1,1
"App ID-106311","2014 Fall",25,3.16,53,"2013-11-27","2013-12-07","2014-04-30",56560,0,41484,22216,19870,35687,"2014-03-07","2014-03-20",NA,NA,0.64,53139,41737,0.9084,951,0.0228,1356,1,0,0,1,1,0,1,1
"App ID-106314","2014 Fall",20,3.29,NA,"2013-12-03","2013-12-05",NA,56374,0,41484,7500,7500,8710,"2014-03-12","2014-03-21",NA,NA,145.87,64278,10099,0.9377,23,0.0023,NA,0,0,0,0,0,0,0,0
"App ID-106317","2014 Fall",29,3.95,0,"2013-10-30",NA,"2013-12-03",98370,0,41484,21000,21000,19741,"2014-02-18","2014-03-17","2014-03-10","2014-04-24",1207.19,70738,28482,0.8888,NA,NA,NA,1,0,0,0,1,0,0,1
"App ID-106415","2014 Fall",23,3.75,NA,"2013-12-17",NA,NA,56273,0,41484,14540,14540,18176,"2014-03-04","2014-03-19",NA,NA,136.7,61131,4825,0.9838,36,0.0075,446,0,0,0,1,0,0,0,0
"App ID-106420","2014 Fall",20,3.02,NA,"2014-01-08","2014-01-09",NA,58201,0,NA,0,0,0,NA,NA,NA,NA,73.7,49018,36448,0.906,163,0.0045,NA,0,0,0,1,0,0,0,0
"App ID-106424","2014 Fall",22,3.56,NA,"2013-11-06","2013-12-05",NA,56329,0,41484,23870,18890,38567,"2014-04-01","2014-04-02",NA,NA,158.35,59358,7276,0.9736,8,0.0011,436,0,0,0,1,0,0,0,0
"App ID-106426","2014 Fall",24,3.83,87,"2013-10-30",NA,"2014-02-17",57106,0,41484,24270,24270,34685,"2014-02-19","2014-03-20",NA,NA,231.03,58061,41763,0.9148,37,9e-04,NA,0,0,0,0,1,0,0,0
"App ID-106427","2014 Fall",21,2.79,NA,"2013-11-11",NA,NA,55024,0,NA,0,0,0,NA,NA,NA,NA,232.16,88246,33316,0.9112,67,0.002,NA,0,0,0,1,0,0,0,0
"App ID-106491","2014 Fall",26,2.63,NA,"2013-11-07",NA,NA,56001,0,41484,25154,16140,44474,"2014-02-18","2014-03-17",NA,NA,229.64,46354,47040,0.9093,56,0.0012,784,0,0,0,1,0,0,0,0
"App ID-106494","2014 Fall",22,3.32,NA,"2013-11-08","2013-12-13",NA,55307,0,NA,0,0,0,NA,NA,NA,NA,202.61,51143,3293,0.9736,5,0.0015,NA,0,0,0,0,0,0,0,0
"App ID-106496","2014 Fall",20,3.91,NA,"2013-11-01",NA,NA,56701,0,41484,13000,13000,11675,"2014-04-08","2014-04-09",NA,NA,90.74,47855,12691,0.9344,61,0.0048,NA,0,0,0,1,0,0,0,0
"App ID-106503","2014 Fall",27,3.51,0,"2013-11-01",NA,"2014-01-28",55110,0,41484,13500,13500,0,"2014-03-04","2014-03-19",NA,NA,217.99,70106,38611,0.9219,74,0.0019,1149,0,1,0,1,1,0,0,0
"App ID-106507","2014 Fall",29,2.94,NA,"2013-11-27","2013-11-27",NA,55082,0,NA,0,0,0,NA,NA,NA,NA,227.3,78919,35273,0.9343,89,0.0025,NA,1,0,0,0,0,0,0,0
"App ID-106508","2014 Fall",29,4,NA,"2013-10-31","2013-11-19","2014-02-20",56542,0,41484,22990,22990,32844,"2014-03-21","2014-03-25","2014-03-10",NA,68.53,44007,2965,0.9636,29,0.0098,172,0,0,0,0,0,0,0,0
"App ID-106510","2014 Fall",27,3.81,NA,"2013-11-07",NA,NA,55901,0,NA,0,0,0,NA,NA,NA,NA,283.49,65126,53242,0.8189,111,0.0021,NA,0,0,0,0,0,0,0,0
"App ID-106512","2014 Fall",26,3.32,56,"2014-04-02","2014-04-14","2014-05-12",56243,0,41484,18750,18750,27124,"2014-04-22","2014-04-23",NA,NA,154.63,49545,1760,0.9869,9,0.0051,NA,0,0,0,1,1,0,0,0
"App ID-106513","2014 Fall",23,3.36,NA,"2014-01-06","2014-01-07",NA,55011,0,41484,0,0,44474,"2014-02-19",NA,NA,NA,198.31,90286,9991,0.944,9,9e-04,NA,0,0,0,0,0,1,0,0
"App ID-106514","2014 Fall",24,3.87,94,"2013-11-12","2013-11-12",NA,55307,0,41484,23481,22870,34295,"2014-03-27","2014-03-28",NA,NA,202.61,51143,3293,0.9736,5,0.0015,NA,0,0,0,0,0,0,0,0
"App ID-106515","2014 Fall",22,3.27,NA,"2013-11-18","2013-12-27",NA,59030,0,NA,0,0,0,NA,NA,NA,NA,680.05,47222,1627,0.9668,NA,NA,NA,0,1,0,1,0,0,0,0
"App ID-106529","2014 Fall",21,3.45,60,"2013-10-30","2013-12-12","2014-03-27",56701,0,41484,14910,14910,10762,"2014-02-18","2014-04-21",NA,NA,90.74,47855,12691,0.9344,61,0.0048,NA,0,0,0,1,0,0,0,0
"App ID-106532","2014 Fall",23,2.65,NA,"2013-11-01","2013-12-03",NA,56377,0,NA,0,0,0,NA,NA,NA,NA,149.24,75050,17801,0.9389,94,0.0053,NA,0,0,0,1,0,0,0,0
"App ID-106535","2014 Fall",31,4,NA,"2013-11-12","2013-11-12",NA,56560,0,41484,23750,23750,32125,"2014-02-17","2014-03-17","2014-03-10",NA,0.64,53139,41737,0.9084,951,0.0228,223,0,0,0,1,0,0,0,0
"App ID-106536","2014 Fall",24,3.94,95,"2013-11-12","2013-11-12","2013-12-19",55371,0,41484,21250,21250,15202,"2014-03-04","2014-03-20",NA,NA,175.95,56971,16410,0.9589,24,0.0015,925,0,0,0,0,1,0,0,0
"App ID-106538","2014 Fall",26,3.84,NA,"2013-10-30","2013-11-18",NA,56701,0,41484,21250,21250,26594,"2014-04-30","2014-05-01",NA,NA,90.74,47855,12691,0.9344,61,0.0048,NA,0,0,0,1,0,0,0,0
"App ID-106543","2014 Fall",27,3.83,NA,"2013-11-08",NA,NA,55304,0,41484,15500,15500,0,"2014-02-17","2014-03-25",NA,NA,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,0,0,0,0
"App ID-106544","2014 Fall",23,3.43,NA,"2013-11-01","2013-12-03",NA,55309,0,NA,0,0,0,NA,NA,NA,NA,179.03,75287,18758,0.952,37,0.002,857,0,0,0,1,0,0,0,0
"App ID-106549","2014 Fall",28,3.11,NA,"2013-11-01","2013-11-22",NA,55112,0,41484,20330,20330,31550,"2014-02-17","2014-03-27",NA,NA,215.51,64709,44095,0.8363,106,0.0024,1671,0,0,0,0,0,1,0,0
"App ID-106556","2014 Fall",18,3.39,54,"2013-11-14","2013-11-19",NA,55309,0,NA,0,0,0,NA,NA,NA,NA,179.03,75287,18758,0.952,37,0.002,498,0,0,0,0,0,0,0,0
"App ID-120950","2014 Fall",20,3.8,NA,"2013-11-04","2013-12-02",NA,56301,0,NA,0,0,0,NA,NA,NA,NA,152.83,52693,32895,0.849,64,0.0019,NA,0,0,0,0,0,0,0,0
"App ID-120951","2014 Fall",29,3.88,NA,"2013-11-07","2013-11-22",NA,55372,0,41484,22500,22500,32061,"2014-02-18","2014-03-17","2014-03-10",NA,221.06,98596,31003,0.9154,80,0.0026,2154,1,0,0,0,0,0,0,0
"App ID-120956","2014 Fall",21,3.28,57,"2013-11-14",NA,"2014-01-20",55304,0,41484,18610,18610,34693,"2014-03-18","2014-04-23",NA,NA,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,1,0,0,1
"App ID-120958","2014 Fall",25,3.69,77,"2013-11-15","2014-01-06","2014-02-12",55803,0,41484,16000,16000,0,"2014-02-17","2014-03-17",NA,NA,219.29,70573,16947,0.9526,37,0.0022,1345,1,0,0,0,1,0,0,1
"App ID-120960","2014 Fall",24,3.35,0,"2013-11-03","2013-12-30","2014-01-20",23692,0,41484,13900,13900,18541,"2014-02-18","2014-03-17",NA,NA,1232.06,79342,18611,0.8502,NA,NA,NA,0,0,0,1,1,0,0,0
"App ID-120962","2014 Fall",22,3.14,NA,"2013-11-14","2013-11-14",NA,55378,0,NA,0,0,0,NA,NA,NA,NA,219.02,95024,28035,0.8301,77,0.0027,2154,0,0,0,0,0,0,0,0
"App ID-120963","2014 Fall",28,3.96,NA,"2013-11-11","2013-12-03",NA,55811,0,41484,22920,22920,32757,"2014-03-17","2014-03-21","2014-03-10",NA,216.72,58392,26739,0.9406,47,0.0018,NA,0,0,0,1,0,0,0,0
"App ID-120964","2014 Fall",28,3.53,NA,"2013-11-25","2014-01-09",NA,55318,0,NA,0,0,0,NA,NA,NA,NA,207.49,78141,25954,0.9145,86,0.0033,NA,0,0,0,1,0,0,0,0
"App ID-120966","2014 Fall",28,3.83,NA,"2013-11-04","2013-11-18",NA,56073,0,NA,0,0,0,NA,NA,NA,NA,208.15,50000,16616,0.983,15,9e-04,NA,1,0,0,1,0,0,0,0
"App ID-120967","2014 Fall",32,3.97,NA,"2013-11-12","2013-11-19",NA,55105,0,41484,20000,20000,0,"2014-02-17","2014-03-17","2014-03-10",NA,218.11,76850,27560,0.8872,72,0.0026,NA,1,0,0,0,0,0,0,0
"App ID-120969","2014 Fall",27,3.95,92,"2013-11-12","2013-11-25","2014-04-28",56601,0,41484,28586,20000,43092,"2014-02-21","2014-07-23",NA,NA,99.81,47772,33463,0.856,122,0.0036,1145,1,0,0,0,1,0,0,1
"App ID-120973","2014 Fall",24,2.7,NA,"2013-11-04","2014-01-17",NA,9603,0,41484,0,0,43048,"2014-02-18",NA,NA,NA,6532.99,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0
"App ID-120982","2014 Fall",30,3.05,40,"2013-11-06","2013-11-18","2014-03-31",55372,0,41484,25690,14500,44460,"2014-02-17","2014-03-17",NA,NA,221.06,98596,31003,0.9154,80,0.0026,2154,0,0,0,0,1,1,0,0
"App ID-120983","2014 Fall",26,3.92,87,"2013-11-06","2013-11-18","2013-12-06",56339,0,41484,20000,17000,28626,"2014-03-13","2014-04-11",NA,NA,84.98,47375,1151,0.987,3,0.0026,NA,0,1,0,0,1,0,0,0
"App ID-120985","2014 Fall",21,3,38,"2014-01-26","2014-02-05","2014-02-24",55060,0,41484,5500,5500,8725,"2014-03-17","2014-04-04",NA,NA,257.13,54126,28947,0.9082,82,0.0028,1442,0,0,0,1,1,0,0,0
"App ID-121017","2015 Fall",0,NA,88,"2015-06-22","2015-07-06",NA,13485,0,43064,0,0,43023,"2015-07-01",NA,NA,NA,1083.4,40172,994,0.9899,NA,NA,NA,1,0,0,0,0,0,0,0
"App ID-121280","2015 Fall",25,3.86,98,"2014-10-31","2014-11-21",NA,53403,0,NA,0,0,0,NA,NA,NA,NA,524.03,40717,27323,0.6282,2,1e-04,NA,0,0,0,1,0,0,0,0
"App ID-121346","2015 Fall",20,3.59,82,"2014-12-22","2015-01-08",NA,56373,0,NA,0,0,0,NA,NA,NA,NA,137.73,60035,3011,0.9738,NA,NA,183,0,0,0,0,0,0,0,0
"App ID-121425","2015 Fall",26,3.4,63,"2014-09-09","2014-09-19",NA,54449,0,NA,0,0,0,NA,NA,NA,NA,351.88,50181,26117,0.9611,2,1e-04,NA,0,0,0,0,0,0,0,0
